frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D
0,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,1
1,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
2,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
3,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
4,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
5,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
6,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
7,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
8,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
9,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
10,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,1
11,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
12,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
13,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
14,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
15,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
16,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
17,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
18,70,100,104,76,1,62,0,0,0,0,0,0,0,0,0,0,0
19,70,100,0,76,0,62,0,0,0,0,0,0,0,0,0,0,0
20,70,100,0,76,0,62,1,0,1,0,0,0,0,0,0,0,0
21,70,92,0,76,0,62,0,0,0,0,0,0,0,0,0,0,0
22,70,84,0,76,0,62,0,0,0,0,0,0,0,0,0,0,0
23,70,84,0,76,0,61,0,0,0,0,0,0,0,0,0,0,0
24,70,77,0,76,0,61,0,0,0,0,0,0,0,0,0,0,0
25,70,71,0,76,0,61,0,0,0,0,0,0,0,0,0,0,0
26,70,65,0,76,0,61,0,0,0,0,0,0,0,0,0,0,0
