frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D
0,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,1
1,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
2,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
3,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
4,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
5,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
6,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
7,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
8,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
9,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
10,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,1
11,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
12,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
13,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
14,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
15,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
16,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
17,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
18,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
19,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
20,6,88,31,96,0,35,0,0,0,1,0,0,0,0,0,0,0
21,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
22,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
23,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
24,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
25,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
26,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
27,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
28,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
29,6,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
30,6,88,31,96,0,35,0,0,0,1,0,0,0,0,0,0,0
31,5,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
32,4,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
33,3,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
34,3,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
35,2,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
36,1,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
37,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
38,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
39,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
40,0,88,31,96,0,35,0,0,1,0,0,0,0,0,0,0,0
41,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
42,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
43,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
44,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
45,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
46,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
47,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
48,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
49,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
50,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,1
51,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
52,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
53,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
54,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
55,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
56,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
57,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
58,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
59,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
60,0,88,31,96,0,35,0,0,0,0,0,0,1,0,0,0,0
61,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
62,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
63,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
64,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
65,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
66,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
67,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
68,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
69,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
70,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
71,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
72,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
73,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
74,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
75,0,88,31,96,0,35,0,0,0,0,0,0,0,0,0,0,0
