frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D,pressed_buttons
0,160,160,15,0,0,95,0,1,0,0,0,0,0,0,0,0,0,DOWN
1,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
2,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
3,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
4,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
5,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
6,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
7,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
8,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
9,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
10,160,160,15,0,0,95,0,0,0,0,0,0,0,0,0,1,0,C
11,160,160,17,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
12,160,160,17,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
13,160,160,17,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
14,160,160,17,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
15,160,160,17,0,0,95,0,0,0,0,0,0,0,0,0,0,0,-
16,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
17,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
18,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
19,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
20,160,160,17,0,0,94,0,0,0,0,0,0,0,0,1,0,0,B
21,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
22,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
23,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
24,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
25,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
26,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
27,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
28,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
29,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
30,160,160,17,0,0,94,0,0,0,0,0,0,1,0,0,0,0,Z
31,160,160,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
32,160,160,20,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
33,160,160,20,0,0,94,0,0,0,0,0,0,0,0,0,0,0,-
34,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
35,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
36,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
37,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
38,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
39,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
40,160,160,20,0,0,93,0,0,1,0,0,0,0,0,0,0,0,LEFT
41,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
42,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
43,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
44,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
45,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
46,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
47,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
48,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
49,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
50,160,160,20,0,0,93,0,0,1,0,0,0,0,0,0,0,0,LEFT
51,160,160,20,0,0,93,0,0,0,0,0,0,0,0,0,0,0,-
52,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
53,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
54,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
55,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
56,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
57,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
58,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
59,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
60,160,160,20,0,0,92,1,0,0,0,0,0,0,0,0,0,0,UP
61,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
62,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
63,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
64,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
65,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
66,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
67,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
68,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
69,160,160,20,0,0,92,0,0,0,0,0,0,0,0,0,0,0,-
70,160,160,20,0,0,91,0,0,0,0,0,0,0,1,0,0,0,A
71,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
72,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
73,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
74,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
75,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
76,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
77,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
78,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
79,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
80,160,160,20,0,0,91,1,0,0,0,0,0,0,0,0,0,0,UP
81,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
82,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
83,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
84,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
85,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
86,160,160,20,0,0,91,0,0,0,0,0,0,0,0,0,0,0,-
