frame_id,p1_hp,p2_hp,p1_meter,p2_meter,macro_ready,timer,UP,DOWN,LEFT,RIGHT,Y,X,Z,A,B,C,D
0,160,152,18,0,0,90,1,0,0,0,0,0,0,0,0,0,0
1,160,152,18,0,0,90,0,0,0,0,0,0,0,0,0,0,0
2,160,152,18,0,0,90,0,0,0,0,0,0,0,0,0,0,0
3,160,152,18,0,0,90,0,0,0,0,0,0,0,0,0,0,0
4,160,152,18,0,0,90,0,0,0,0,0,0,0,0,0,0,0
5,160,152,18,0,0,90,0,0,0,0,0,0,0,0,0,0,0
6,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
7,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
8,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
9,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
10,160,152,18,0,0,89,1,0,1,0,0,0,0,0,0,0,0
11,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
12,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
13,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
14,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
15,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
16,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
17,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
18,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
19,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
20,160,152,18,0,0,89,0,0,0,1,0,0,0,0,0,0,0
21,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
22,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
23,160,152,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0
24,160,152,18,0,0,88,0,0,0,0,0,0,0,0,0,0,0
25,160,152,18,0,0,88,0,0,0,0,0,0,0,0,0,0,0
26,160,152,18,0,0,88,0,0,0,0,0,0,0,0,0,0,0
27,160,152,18,0,0,88,0,0,0,0,0,0,0,0,0,0,0
28,160,152,18,0,0,88,0,0,0,0,0,0,0,0,0,0,0
